representative	member
A0A140D2T1_ZIKV	A0A140D2T1_ZIKV
A0A192B1T2_9HIV1	A0A192B1T2_9HIV1
A0A192B1T2_9HIV1	Q2N0S5_9HIV1
A0A192B1T2_9HIV1	ENV_HV1B9
A0A192B1T2_9HIV1	ENV_HV1BR
A0A1I9GEU1_NEIME	A0A1I9GEU1_NEIME
A0A247D711_LISMN	A0A247D711_LISMN
A0A2Z5U3Z0_9INFA	A0A2Z5U3Z0_9INFA
A0A2Z5U3Z0_9INFA	C6KNH7_9INFA
A4_HUMAN	A4_HUMAN
A4D664_9INFA	A4D664_9INFA
A4GRB6_PSEAI	A4GRB6_PSEAI
AACC1_PSEAI	AACC1_PSEAI
ACE2_HUMAN	ACE2_HUMAN
ADRB2_HUMAN	ADRB2_HUMAN
AICDA_HUMAN	AICDA_HUMAN
AMFR_HUMAN	AMFR_HUMAN
AMIE_PSEAE	AMIE_PSEAE
ANCSZ	ANCSZ
ARGR_ECOLI	ARGR_ECOLI
B2L11_HUMAN	B2L11_HUMAN
BBC1_YEAST	BBC1_YEAST
BCHB_CHLTE	BCHB_CHLTE
BLAT_ECOLX	BLAT_ECOLX
BRCA1_HUMAN	BRCA1_HUMAN
BRCA2_HUMAN	BRCA2_HUMAN
CALM1_HUMAN	CALM1_HUMAN
CAPSD_AAV2S	CAPSD_AAV2S
CAR11_HUMAN	CAR11_HUMAN
CAS9_STRP1	CAS9_STRP1
CASP3_HUMAN	CASP3_HUMAN
CASP3_HUMAN	CASP7_HUMAN
CATR_CHLRE	CATR_CHLRE
CBPA2_HUMAN	CBPA2_HUMAN
CBS_HUMAN	CBS_HUMAN
CBX4_HUMAN	CBX4_HUMAN
CCDB_ECOLI	CCDB_ECOLI
CCR5_HUMAN	CCR5_HUMAN
CD19_HUMAN	CD19_HUMAN
CP2C9_HUMAN	CP2C9_HUMAN
CSN4_MOUSE	CSN4_MOUSE
CUE1_YEAST	CUE1_YEAST
D7PM05_CLYGR	D7PM05_CLYGR
D7PM05_CLYGR	Q8WTC7_9CNID
D7PM05_CLYGR	GFP_AEQVI
DLG4_RAT	DLG4_RAT
DLG4_RAT	DLG4_HUMAN
DN7A_SACS2	DN7A_SACS2
DNJA1_HUMAN	DNJA1_HUMAN
DOCK1_MOUSE	DOCK1_MOUSE
DYR_ECOLI	DYR_ECOLI
ENVZ_ECOLI	ENVZ_ECOLI
EPHB2_HUMAN	EPHB2_HUMAN
ERBB2_HUMAN	ERBB2_HUMAN
ESTA_BACSU	ESTA_BACSU
F7YBW8_MESOW	F7YBW8_MESOW
FECA_ECOLI	FECA_ECOLI
FKBP3_HUMAN	FKBP3_HUMAN
GAL4_YEAST	GAL4_YEAST
GCN4_YEAST	GCN4_YEAST
GDIA_HUMAN	GDIA_HUMAN
GLPA_HUMAN	GLPA_HUMAN
GRB2_HUMAN	GRB2_HUMAN
HCP_LAMBD	HCP_LAMBD
HECD1_HUMAN	HECD1_HUMAN
HEM3_HUMAN	HEM3_HUMAN
HIS7_YEAST	HIS7_YEAST
HMDH_HUMAN	HMDH_HUMAN
HSP82_YEAST	HSP82_YEAST
HXK4_HUMAN	HXK4_HUMAN
IF1_ECOLI	IF1_ECOLI
ILF3_HUMAN	ILF3_HUMAN
ISDH_STAAW	ISDH_STAAW
KCNE1_HUMAN	KCNE1_HUMAN
KCNH2_HUMAN	KCNH2_HUMAN
KCNJ2_MOUSE	KCNJ2_MOUSE
KKA2_KLEPN	KKA2_KLEPN
LGK_LIPST	LGK_LIPST
LYAM1_HUMAN	LYAM1_HUMAN
MAFG_MOUSE	MAFG_MOUSE
MBD11_ARATH	MBD11_ARATH
MET_HUMAN	MET_HUMAN
MK01_HUMAN	MK01_HUMAN
MLAC_ECOLI	MLAC_ECOLI
MSH2_HUMAN	MSH2_HUMAN
MTH3_HAEAE	MTH3_HAEAE
MTHR_HUMAN	MTHR_HUMAN
MYO3_YEAST	MYO3_YEAST
NCAP_I34A1	NCAP_I34A1
NCAP_I34A1	I6TAH8_I68A0
NPC1_HUMAN	NPC1_HUMAN
NRAM_I33A0	NRAM_I33A0
NUD15_HUMAN	NUD15_HUMAN
NUSA_ECOLI	NUSA_ECOLI
NUSG_MYCTU	NUSG_MYCTU
OBSCN_HUMAN	OBSCN_HUMAN
ODP2_GEOSE	ODP2_GEOSE
OPSD_HUMAN	OPSD_HUMAN
OTC_HUMAN	OTC_HUMAN
OTU7A_HUMAN	OTU7A_HUMAN
OXDA_RHOTO	OXDA_RHOTO
P53_HUMAN	P53_HUMAN
PA_I34A1	PA_I34A1
PABP_YEAST	PABP_YEAST
PAI1_HUMAN	PAI1_HUMAN
PHOT_CHLRE	PHOT_CHLRE
PIN1_HUMAN	PIN1_HUMAN
PITX2_HUMAN	PITX2_HUMAN
PITX2_HUMAN	NKX31_HUMAN
PKN1_HUMAN	PKN1_HUMAN
POLG_CXB3N	POLG_CXB3N
POLG_DEN26	POLG_DEN26
POLG_HCVJF	POLG_HCVJF
POLG_PESV	POLG_PESV
PPARG_HUMAN	PPARG_HUMAN
PPM1D_HUMAN	PPM1D_HUMAN
PR40A_HUMAN	PR40A_HUMAN
PRKN_HUMAN	PRKN_HUMAN
PSAE_PICP2	PSAE_PICP2
PTEN_HUMAN	PTEN_HUMAN
Q53Z42_HUMAN	Q53Z42_HUMAN
Q59976_STRSQ	Q59976_STRSQ
Q6WV12_9MAXI	Q6WV12_9MAXI
Q837P5_ENTFA	Q837P5_ENTFA
Q837P5_ENTFA	Q837P4_ENTFA
R1AB_SARS2	R1AB_SARS2
RAD_ANTMA	RAD_ANTMA
RAF1_HUMAN	RAF1_HUMAN
RASK_HUMAN	RASK_HUMAN
RASK_HUMAN	RASH_HUMAN
RBP1_HUMAN	RBP1_HUMAN
RCD1_ARATH	RCD1_ARATH
RCRO_LAMBD	RCRO_LAMBD
RD23A_HUMAN	RD23A_HUMAN
RDRP_I33A0	RDRP_I33A0
REV_HV1H2	REV_HV1H2
RFAH_ECOLI	RFAH_ECOLI
RL20_AQUAE	RL20_AQUAE
RL40A_YEAST	RL40A_YEAST
RNC_ECOLI	RNC_ECOLI
RPC1_BP434	RPC1_BP434
RPC1_LAMBD	RPC1_LAMBD
RS15_GEOSE	RS15_GEOSE
S22A1_HUMAN	S22A1_HUMAN
SAV1_MOUSE	SAV1_MOUSE
SBI_STAAM	SBI_STAAM
SC6A4_HUMAN	SC6A4_HUMAN
SCIN_STAAR	SCIN_STAAR
SCN5A_HUMAN	SCN5A_HUMAN
SDA_BACSU	SDA_BACSU
SERC_HUMAN	SERC_HUMAN
SHOC2_HUMAN	SHOC2_HUMAN
SOX30_HUMAN	SOX30_HUMAN
SPA_STAAU	SPA_STAAU
SPG1_STRSG	SPG1_STRSG
SPG2_STRSG	SPG2_STRSG
SPIKE_SARS2	SPIKE_SARS2
SPTN1_CHICK	SPTN1_CHICK
SQSTM_MOUSE	SQSTM_MOUSE
SR43C_ARATH	SR43C_ARATH
SRBS1_HUMAN	SRBS1_HUMAN
SRC_HUMAN	SRC_HUMAN
SUMO1_HUMAN	SUMO1_HUMAN
SYUA_HUMAN	SYUA_HUMAN
TADBP_HUMAN	TADBP_HUMAN
TAT_HV1BR	TAT_HV1BR
TCRG1_MOUSE	TCRG1_MOUSE
THO1_YEAST	THO1_YEAST
TNKS2_HUMAN	TNKS2_HUMAN
TPK1_HUMAN	TPK1_HUMAN
TPMT_HUMAN	TPMT_HUMAN
TPOR_HUMAN	TPOR_HUMAN
TRPC_SACS2	TRPC_SACS2
TRPC_SACS2	P84126_THETH
TRPC_SACS2	TRPC_THEMA
UBC9_HUMAN	UBC9_HUMAN
UBE4B_HUMAN	UBE4B_HUMAN
UBE4B_MOUSE	UBE4B_MOUSE
UBR5_HUMAN	UBR5_HUMAN
VG08_BPP22	VG08_BPP22
VILI_CHICK	VILI_CHICK
VKOR1_HUMAN	VKOR1_HUMAN
VRPI_BPT7	VRPI_BPT7
YAIA_ECOLI	YAIA_ECOLI
YAP1_HUMAN	YAP1_HUMAN
YNZC_BACSU	YNZC_BACSU
